,date,open,close,high,low,volume,code
0,2017-01-03,243.962,244.242,246.682,242.492,20763.0,600519
1,2017-01-04,244.302,261.592,261.852,244.282,65257.0,600519
2,2017-01-05,259.682,256.422,261.132,255.122,41704.0,600519
3,2017-01-06,256.322,260.442,269.462,255.782,68095.0,600519
4,2017-01-09,257.482,258.192,262.562,256.222,35405.0,600519
5,2017-01-10,258.132,258.682,261.682,256.282,31727.0,600519
6,2017-01-11,257.682,255.132,257.682,253.182,23598.0,600519
7,2017-01-12,256.232,256.732,257.082,254.192,17779.0,600519
8,2017-01-13,256.662,254.552,257.072,253.562,18282.0,600519
9,2017-01-16,253.812,251.152,254.482,248.482,36855.0,600519
10,2017-01-17,252.282,258.812,261.182,251.682,35188.0,600519
11,2017-01-18,258.562,264.762,266.452,256.892,46005.0,600519
12,2017-01-19,264.682,264.402,268.162,261.382,28523.0,600519
13,2017-01-20,264.582,264.672,267.082,262.712,21344.0,600519
14,2017-01-23,266.562,260.902,269.482,259.142,32581.0,600519
15,2017-01-24,260.952,259.992,262.482,256.432,26914.0,600519
16,2017-01-25,259.662,257.312,259.662,255.882,22990.0,600519
17,2017-01-26,257.822,254.102,258.482,250.982,37826.0,600519
18,2017-02-03,255.682,256.532,258.862,254.682,20936.0,600519
19,2017-02-06,258.172,256.532,258.572,254.642,15680.0,600519
20,2017-02-07,256.522,253.262,257.082,252.822,20519.0,600519
21,2017-02-08,253.442,253.892,255.182,252.352,19088.0,600519
22,2017-02-09,254.682,257.292,258.472,254.292,23324.0,600519
23,2017-02-10,258.302,254.762,259.502,254.682,24056.0,600519
24,2017-02-13,253.682,259.432,261.582,251.602,53587.0,600519
25,2017-02-14,259.222,259.892,262.282,258.782,26558.0,600519
26,2017-02-15,261.182,258.212,262.122,256.882,26256.0,600519
27,2017-02-16,258.182,257.772,258.302,255.192,17642.0,600519
28,2017-02-17,258.582,260.242,264.122,257.182,29102.0,600519
29,2017-02-20,260.092,270.972,272.002,259.692,61853.0,600519
30,2017-02-21,271.562,268.422,272.112,266.862,27705.0,600519
31,2017-02-22,270.292,271.572,276.202,269.682,37130.0,600519
32,2017-02-23,270.652,271.382,275.162,269.442,23328.0,600519
33,2017-02-24,271.682,272.302,272.572,269.732,17692.0,600519
34,2017-02-27,272.172,266.882,272.532,266.482,25400.0,600519
35,2017-02-28,266.682,264.342,268.882,263.262,27473.0,600519
36,2017-03-01,264.782,266.292,267.882,264.682,21944.0,600519
37,2017-03-02,266.392,266.502,266.682,264.212,22103.0,600519
38,2017-03-03,264.682,266.222,267.902,264.682,14153.0,600519
39,2017-03-06,267.342,268.642,269.222,266.232,22818.0,600519
40,2017-03-07,267.712,276.882,278.562,267.712,46286.0,600519
41,2017-03-08,276.862,276.962,278.172,275.182,16037.0,600519
42,2017-03-09,276.682,279.582,279.662,275.242,23406.0,600519
43,2017-03-10,279.602,279.532,286.682,278.042,40951.0,600519
44,2017-03-13,279.732,281.232,284.012,277.212,27674.0,600519
45,2017-03-14,281.232,279.182,283.532,278.022,20416.0,600519
46,2017-03-15,279.182,284.362,284.832,278.692,25155.0,600519
47,2017-03-16,286.242,284.452,287.982,282.482,25022.0,600519
48,2017-03-17,282.782,288.162,294.132,282.782,34700.0,600519
49,2017-03-20,290.182,296.092,296.392,288.562,31545.0,600519
50,2017-03-21,296.232,303.692,306.182,296.182,48460.0,600519
51,2017-03-22,300.212,304.162,304.282,294.682,45532.0,600519
52,2017-03-23,301.712,299.472,303.672,296.282,34504.0,600519
53,2017-03-24,302.002,296.502,302.902,294.682,33287.0,600519
54,2017-03-27,295.712,288.502,298.942,288.072,53690.0,600519
55,2017-03-28,289.632,289.942,290.832,286.342,41187.0,600519
56,2017-03-29,290.692,293.332,295.482,289.582,37299.0,600519
57,2017-03-30,292.682,295.822,296.572,292.282,31612.0,600519
58,2017-03-31,295.882,296.042,297.682,293.862,24474.0,600519
59,2017-04-05,295.342,299.342,304.672,294.682,40789.0,600519
60,2017-04-06,298.692,301.592,302.682,296.312,28857.0,600519
61,2017-04-07,302.672,302.552,303.682,299.282,24097.0,600519
62,2017-04-10,303.682,298.882,303.682,297.682,28869.0,600519
63,2017-04-11,297.732,294.972,300.382,290.282,43530.0,600519
64,2017-04-12,294.972,299.912,300.682,294.482,27002.0,600519
65,2017-04-13,300.462,308.072,308.272,300.192,45648.0,600519
66,2017-04-14,309.112,305.132,309.562,304.682,23646.0,600519
67,2017-04-17,300.682,305.472,307.962,298.232,28793.0,600519
68,2017-04-18,304.282,314.332,316.232,304.282,49581.0,600519
69,2017-04-19,312.682,315.422,318.782,312.542,37550.0,600519
70,2017-04-20,315.772,324.992,330.112,315.772,50457.0,600519
71,2017-04-21,324.682,310.212,325.282,309.682,49332.0,600519
72,2017-04-24,310.302,308.232,314.682,298.682,50037.0,600519
73,2017-04-25,314.482,328.572,329.852,314.482,76192.0,600519
74,2017-04-26,328.532,327.642,338.362,322.692,56624.0,600519
75,2017-04-27,325.212,331.122,331.652,320.112,28240.0,600519
76,2017-04-28,331.672,323.162,332.682,319.582,49505.0,600519
77,2017-05-02,321.282,321.762,324.682,318.862,23291.0,600519
78,2017-05-03,320.682,327.292,327.342,320.682,20267.0,600519
79,2017-05-04,324.312,325.682,328.162,324.312,26709.0,600519
80,2017-05-05,325.882,325.872,332.462,324.782,37437.0,600519
